timestamp,weakest_etf,prev_best_calmar,prev_best_cell,name,ticker,axis,labeler,thresh,sizing,real_calmar,real_da,trades,g2_pass,deployable,synth_cal,train_auc,val_auc,real_sharpe,real_skew,real_kurt,n_days,is_winner,kept_as_new_best,train_status,infer_status
2026-06-02T21:40:58,XLE,0.8588,XLE_logdollar_tertile_cdf_overlay_t0.30,A,XLE,logdollar,trend_scan,0.45,cdf_overlay,0.0157,24.3006,369,True,True,0.9162,0.5911,0.5032,0.0446,-0.4109,7.5802,710,False,False,completed,completed
2026-06-02T21:40:58,XLE,0.8588,XLE_logdollar_tertile_cdf_overlay_t0.30,B,XLE,logdollar,bgm,0.45,cdf_overlay,1.0229,8.178,346,True,True,0.7097,0.7359,0.5802,0.9119,0.1003,10.8477,710,True,False,completed,completed
2026-06-02T21:48:13,TLT,-0.0387,TLT_logdollar_trend_scan_ls_overlay_t0.45,A,TLT,logdollar,bgm,0.45,ls_overlay,0.0279,31.5473,665,True,True,1.0629,0.8012,0.6354,0.0855,-0.1891,5.5617,710,True,False,completed,completed
2026-06-02T21:48:13,TLT,-0.0387,TLT_logdollar_trend_scan_ls_overlay_t0.45,B,TLT,imbalance,regime_gmm,0.45,ls_overlay,0.0,0.0,0,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0,False,False,completed,completed
2026-06-02T22:31:27,TLT,-0.0387,TLT_logdollar_trend_scan_ls_overlay_t0.45,A,TLT,range,triple_barrier_meta,0.5,ls_overlay,-0.08,2.3684,393,True,True,0.0157,0.5299,0.4896,-0.118,0.4735,6.6561,710,False,False,completed,completed
2026-06-02T22:31:27,TLT,-0.0387,TLT_logdollar_trend_scan_ls_overlay_t0.45,B,TLT,logdollar,multi_horizon,0.45,ls_overlay,0.2847,25.2079,781,True,True,1.2813,0.7469,0.6887,0.3925,-0.1087,4.3271,710,True,False,completed,completed
2026-06-02T22:35:10,IWM,0.5496,IWM_logdollar_always_long_always_long_t0.50,A,IWM,logdollar,dc_reversal,0.45,cdf_overlay,0.4987,26.1935,1016,True,True,-0.074,0.9685,0.9478,0.7267,1.0185,27.4357,710,False,False,completed,completed
2026-06-02T22:35:10,IWM,0.5496,IWM_logdollar_always_long_always_long_t0.50,B,IWM,logdollar,multi_horizon,0.45,cdf_overlay,0.5772,7.385,331,True,True,0.6462,0.7267,0.5995,0.8106,1.6749,20.2734,710,True,False,completed,completed
2026-06-02T22:41:58,IWM,0.5496,IWM_logdollar_always_long_always_long_t0.50,A,IWM,tickimb,tertile,0.45,cdf_overlay,0.48,1.0244,46,False,False,0.1011,0.8137,0.4864,0.5381,3.1134,74.4932,710,False,False,completed,completed
2026-06-02T22:41:58,IWM,0.5496,IWM_logdollar_always_long_always_long_t0.50,B,IWM,zcusum,dc_trend,0.45,cdf_overlay,0.0562,52.6696,6306,True,True,-0.0503,0.9448,0.918,0.1385,1.7884,14.5663,710,True,False,completed,completed
2026-06-02T22:51:24,XLE,0.8588,XLE_logdollar_tertile_cdf_overlay_t0.30,A,XLE,logdollar,ker,0.45,cdf_overlay,0.9237,9.4348,432,True,True,0.889,0.6691,0.4148,0.8402,-0.295,5.8116,710,False,False,completed,completed
2026-06-02T22:51:24,XLE,0.8588,XLE_logdollar_tertile_cdf_overlay_t0.30,B,XLE,logdollar,ker,0.45,ls_overlay,0.9691,6.5018,336,True,True,0.846,0.6691,0.4148,0.8672,-0.2786,5.7246,710,True,False,completed,completed
2026-06-02T22:59:10,DBC,0.9119,DBC_logdollar_always_long_cdf_overlay_t0.45,A,DBC,logdollar,ker,0.45,cdf_overlay,0.3361,26.0616,392,True,True,0.6799,0.7923,0.5754,0.4615,-0.4198,8.1552,710,False,False,completed,completed
2026-06-02T22:59:10,DBC,0.9119,DBC_logdollar_always_long_cdf_overlay_t0.45,B,DBC,logdollar,bgm,0.45,cdf_overlay,0.9119,36.3171,558,True,True,0.5156,0.8703,nan,0.7742,-0.3954,6.1746,710,True,False,completed,completed
2026-06-02T23:04:02,DBC,0.9119,DBC_logdollar_always_long_cdf_overlay_t0.45,A,DBC,logdollar,cusum_regime,0.45,cdf_overlay,-0.2225,103.3258,625,True,True,0.2457,0.9798,0.9689,-0.3686,-0.187,10.9342,710,False,False,completed,completed
2026-06-02T23:04:02,DBC,0.9119,DBC_logdollar_always_long_cdf_overlay_t0.45,B,DBC,logdollar,tertile,0.45,cdf_overlay,0.5124,13.9577,326,True,True,0.214,0.7229,0.568,0.6299,-1.3525,23.8396,710,True,False,completed,completed
2026-06-02T23:07:41,UUP,1.0831,UUP_imbalance_bgm_cdf_overlay_t0.40,A,UUP,imbalance,ker,0.45,cdf_overlay,0.4733,7.1398,103,True,True,10.6299,0.95,0.7713,0.5946,-1.5911,22.7487,710,True,False,completed,completed
